"personId","displayName","cardCount","cardIds","decades","teams","positions","ageVariantsNeeded","referenceTarget","referenceFolder","referenceStatus","identityMasterStatus","cardPortraitStatus","qaStatus","notes"
"bernard-king","Bernard King","1","king-80s","1980s","Knicks","SF|PF","1","6-8 identity references","portrait-sources/bernard-king","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"bill-russell","Bill Russell","2","russell-50s|bill-60s","1950s|1960s","Celtics","C","2","8-12 total plus decade-specific images","portrait-sources/bill-russell","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"bill-sharman","Bill Sharman","2","sharman-50s|sharman-60s","1950s|1960s","Celtics","SG|PG","2","8-12 total plus decade-specific images","portrait-sources/bill-sharman","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"bill-walton","Bill Walton","1","walton-80s","1980s","Celtics","C","1","6-8 identity references","portrait-sources/bill-walton","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"billy-cunningham","Billy Cunningham","1","billy-60s","1960s","76ers","PF|SF","1","6-8 identity references","portrait-sources/billy-cunningham","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"billy-knight","Billy Knight","1","billy-k-70s","1970s","Pacers","SF|SG","1","6-8 identity references","portrait-sources/billy-knight","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"billy-paultz","Billy Paultz","1","billy-p-70s","1970s","Spurs","C","1","6-8 identity references","portrait-sources/billy-paultz","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"blake-griffin","Blake Griffin","1","blake-10s","2010s","Clippers","PF|C|SF","1","6-8 identity references","portrait-sources/blake-griffin","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"bob-boozer","Bob Boozer","1","boozer-60s","1960s","Royals","PF|C","1","6-8 identity references","portrait-sources/bob-boozer","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"bob-cousy","Bob Cousy","2","cousy-50s|cousy-60s","1950s|1960s","Celtics","PG","2","8-12 total plus decade-specific images","portrait-sources/bob-cousy","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"bob-lanier","Bob Lanier","1","bob-l-70s","1970s","Pistons","C|PF","1","6-8 identity references","portrait-sources/bob-lanier","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"bob-mcadoo","Bob McAdoo","1","bob-mc-70s","1970s","Braves","C|PF","1","6-8 identity references","portrait-sources/bob-mcadoo","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"bob-pettit","Bob Pettit","2","pettit-50s|bob-60s","1950s|1960s","Hawks","PF|C","2","8-12 total plus decade-specific images","portrait-sources/bob-pettit","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"bobby-dandridge","Bobby Dandridge","1","bobby-70s","1970s","Bucks|Bullets","SF|SG|PF","1","6-8 identity references","portrait-sources/bobby-dandridge","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"brad-daugherty","Brad Daugherty","1","brad-80s","1980s","Cavaliers","C","1","6-8 identity references","portrait-sources/brad-daugherty","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"bradley-beal","Bradley Beal","2","beal-10s|beal-20s","2010s|2020s","Wizards|Suns","SG|SF|PG","2","8-12 total plus decade-specific images","portrait-sources/bradley-beal","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"brandon-ingram","Brandon Ingram","1","ingram-20s","2020s","Pelicans|Raptors","SF|PF","1","6-8 identity references","portrait-sources/brandon-ingram","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"bruce-bowen","Bruce Bowen","1","bowen-2ks","2000s","Spurs","SF|SG","1","6-8 identity references","portrait-sources/bruce-bowen","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"buck-williams","Buck Williams","1","buck-80s","1980s","Nets","PF|C","1","6-8 identity references","portrait-sources/buck-williams","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"byron-scott","Byron Scott","1","byron-80s","1980s","Lakers","SG|SF","1","6-8 identity references","portrait-sources/byron-scott","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"cade-cunningham","Cade Cunningham","1","cade-20s","2020s","Pistons","PG|SG","1","6-8 identity references","portrait-sources/cade-cunningham","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"calbert-cheaney","Calbert Cheaney","1","calbert-90s","1990s","Bullets","SF|SG","1","6-8 identity references","portrait-sources/calbert-cheaney","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"calvin-murphy","Calvin Murphy","1","murphy-70s","1970s","Rockets","PG","1","6-8 identity references","portrait-sources/calvin-murphy","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"carmelo-anthony","Carmelo Anthony","2","carmelo-00s|melo-10s","2000s|2010s","Nuggets|Knicks|Thunder","SF|PF","2","8-12 total plus decade-specific images","portrait-sources/carmelo-anthony","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"cedric-ceballos","Cedric Ceballos","1","ced-90s","1990s","Suns|Lakers","SF|PF","1","6-8 identity references","portrait-sources/cedric-ceballos","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"cedric-coward","Cedric Coward","1","coward-20s","2020s","Grizzlies","SF|SG","1","6-8 identity references","portrait-sources/cedric-coward","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"charles-barkley","Charles Barkley","2","charles-80s|barkley-90s","1980s|1990s","76ers|Suns","PF|C","2","8-12 total plus decade-specific images","portrait-sources/charles-barkley","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"charles-oakley","Charles Oakley","1","oakley-90s","1990s","Knicks","PF|C","1","6-8 identity references","portrait-sources/charles-oakley","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"charlie-scott","Charlie Scott","1","charlie-70s","1970s","Suns|Celtics","SG|PG","1","6-8 identity references","portrait-sources/charlie-scott","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"chauncey-billups","Chauncey Billups","1","billups-00s","2000s","Pistons","PG|SG","1","6-8 identity references","portrait-sources/chauncey-billups","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"chet-holmgren","Chet Holmgren","1","chet-20s","2020s","Thunder","C|PF","1","6-8 identity references","portrait-sources/chet-holmgren","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"chet-walker","Chet Walker","2","chet-60s|chet-70s","1960s|1970s","76ers|Bulls","SF|SG","2","8-12 total plus decade-specific images","portrait-sources/chet-walker","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"chris-bosh","Chris Bosh","2","bosh-00s|bosh-10s","2000s|2010s","Raptors|Heat","PF|C","2","8-12 total plus decade-specific images","portrait-sources/chris-bosh","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"chris-mullin","Chris Mullin","1","mullin-90s","1990s","Warriors|Pacers","SF|SG","1","6-8 identity references","portrait-sources/chris-mullin","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"chris-paul","Chris Paul","2","cp3-00s|cp3-10s","2000s|2010s","Hornets|Clippers","PG","2","8-12 total plus decade-specific images","portrait-sources/chris-paul","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"chris-webber","Chris Webber","1","webb-90s","1990s","Kings","PF|C","1","6-8 identity references","portrait-sources/chris-webber","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"clem-haskins","Clem Haskins","1","clem-60s","1960s","Bulls","SG|PG","1","6-8 identity references","portrait-sources/clem-haskins","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"clint-richardson","Clint Richardson","1","clint-70s","1970s","76ers","SG|PG","1","6-8 identity references","portrait-sources/clint-richardson","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"clyde-drexler","Clyde Drexler","2","clyde-80s|clyde-90s","1980s|1990s","Blazers","SG|SF","2","8-12 total plus decade-specific images","portrait-sources/clyde-drexler","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"collin-murray-boyles","Collin Murray-Boyles","1","cmb-20s","2020s","Raptors","PF|C","1","6-8 identity references","portrait-sources/collin-murray-boyles","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"connie-hawkins","Connie Hawkins","1","connie-70s","1970s","Suns","SF|PF","1","6-8 identity references","portrait-sources/connie-hawkins","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"cooper-flagg","Cooper Flagg","1","flagg-20s","2020s","Mavericks","SF|PF","1","6-8 identity references","portrait-sources/cooper-flagg","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"curtis-perry","Curtis Perry","1","curtis-perry-70s","1970s","Bucks","PF|C","1","6-8 identity references","portrait-sources/curtis-perry","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"dale-ellis","Dale Ellis","1","dale-80s","1980s","Sonics","SG|SF","1","6-8 identity references","portrait-sources/dale-ellis","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"damian-lillard","Damian Lillard","2","dame-10s|dame-20s","2010s|2020s","Blazers|Bucks","PG","2","8-12 total plus decade-specific images","portrait-sources/damian-lillard","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"dan-issel","Dan Issel","1","dan-70s","1970s","Nuggets","PF|C","1","6-8 identity references","portrait-sources/dan-issel","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"dan-majerle","Dan Majerle","1","majerle-90s","1990s","Suns","SG|SF","1","6-8 identity references","portrait-sources/dan-majerle","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"danny-ainge","Danny Ainge","1","danny-80s","1980s","Celtics","SG|PG","1","6-8 identity references","portrait-sources/danny-ainge","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"darius-garland","Darius Garland","1","garland-20s","2020s","Cavaliers","PG","1","6-8 identity references","portrait-sources/darius-garland","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"dave-bing","Dave Bing","1","dave-60s","1960s","Pistons","PG|SG","1","6-8 identity references","portrait-sources/dave-bing","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"dave-cowens","Dave Cowens","1","dave-c-70s","1970s","Celtics","C|PF","1","6-8 identity references","portrait-sources/dave-cowens","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"dave-debusschere","Dave DeBusschere","1","dave-d-60s","1960s","Pistons|Knicks","PF|SF","1","6-8 identity references","portrait-sources/dave-debusschere","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"david-robinson","David Robinson","1","rob-90s","1990s","Spurs","C|PF","1","6-8 identity references","portrait-sources/david-robinson","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"david-thompson","David Thompson","1","david-t-70s","1970s","Nuggets","SG|SF","1","6-8 identity references","portrait-sources/david-thompson","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"de-aaron-fox","De'Aaron Fox","1","fox-20s","2020s","Kings|Spurs","PG|SG","1","6-8 identity references","portrait-sources/de-aaron-fox","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"deandre-jordan","DeAndre Jordan","1","dj-10s","2010s","Clippers","C","1","6-8 identity references","portrait-sources/deandre-jordan","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"dejounte-murray","Dejounte Murray","1","dejounte-20s","2020s","Spurs|Hawks|Pelicans","PG|SG","1","6-8 identity references","portrait-sources/dejounte-murray","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"demar-derozan","DeMar DeRozan","2","demar-2010s|demar-20s","2010s|2020s","Raptors|Bulls|Kings","SG|SF","2","8-12 total plus decade-specific images","portrait-sources/demar-derozan","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"demarcus-cousins","DeMarcus Cousins","1","boogie-2010s","2010s","Kings","C|PF","1","6-8 identity references","portrait-sources/demarcus-cousins","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"dennis-johnson","Dennis Johnson","1","dj-80s","1980s","Suns|Celtics","PG|SG","1","6-8 identity references","portrait-sources/dennis-johnson","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"dennis-rodman","Dennis Rodman","1","rodman-90s","1990s","Pistons|Bulls","PF|SF|C","1","6-8 identity references","portrait-sources/dennis-rodman","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"derik-queen","Derik Queen","1","queen-20s","2020s","Pelicans","C|PF","1","6-8 identity references","portrait-sources/derik-queen","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"deron-williams","Deron Williams","1","deron-2ks","2000s","Jazz","PG","1","6-8 identity references","portrait-sources/deron-williams","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"derrick-rose","Derrick Rose","1","drose-10s","2010s","Bulls","PG","1","6-8 identity references","portrait-sources/derrick-rose","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"desmond-bane","Desmond Bane","1","bane-20s","2020s","Grizzlies|Magic","SG|SF","1","6-8 identity references","portrait-sources/desmond-bane","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"detlef-schrempf","Detlef Schrempf","1","detlef-90s","1990s","Pacers","SF|PF","1","6-8 identity references","portrait-sources/detlef-schrempf","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"devin-booker","Devin Booker","2","booker-10s|booker-20s","2010s|2020s","Suns","SG|SF","2","8-12 total plus decade-specific images","portrait-sources/devin-booker","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"dick-van-arsdale","Dick Van Arsdale","1","dick-v-60s","1960s","Knicks|Suns","SG|SF","1","6-8 identity references","portrait-sources/dick-van-arsdale","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"dikembe-mutombo","Dikembe Mutombo","1","dik-90s","1990s","Nuggets|Hawks","C","1","6-8 identity references","portrait-sources/dikembe-mutombo","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"dirk-nowitzki","Dirk Nowitzki","2","dirk-00s|dirk-10s","2000s|2010s","Mavericks","PF|C","2","8-12 total plus decade-specific images","portrait-sources/dirk-nowitzki","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"doc-rivers","Doc Rivers","1","doc-80s","1980s","Hawks","PG|SG","1","6-8 identity references","portrait-sources/doc-rivers","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"dolph-schayes","Dolph Schayes","1","schayes-50s","1950s","Nationals","PF|C","1","6-8 identity references","portrait-sources/dolph-schayes","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"domantas-sabonis","Domantas Sabonis","1","sabonis-20s","2020s","Kings","C|PF","1","6-8 identity references","portrait-sources/domantas-sabonis","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"dominique-wilkins","Dominique Wilkins","2","dom-80s|dom-90s","1980s|1990s","Hawks","SF|SG","2","8-12 total plus decade-specific images","portrait-sources/dominique-wilkins","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"don-buse","Don Buse","1","don-b-70s","1970s","Pacers","PG|SG","1","6-8 identity references","portrait-sources/don-buse","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"don-nelson","Don Nelson","1","don-n-60s","1960s","Celtics","SF|PF","1","6-8 identity references","portrait-sources/don-nelson","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"donovan-mitchell","Donovan Mitchell","2","dmitch-10s|dmitch-20s","2010s|2020s","Jazz|Cavaliers","PG|SG","2","8-12 total plus decade-specific images","portrait-sources/donovan-mitchell","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"draymond-green","Draymond Green","2","draymond-10s|draymond-20s","2010s|2020s","Warriors","PF|SF|C","2","8-12 total plus decade-specific images","portrait-sources/draymond-green","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"drazen-petrovic","Drazen Petrovic","1","petrovic-90s","1990s","Nets","SG","1","6-8 identity references","portrait-sources/drazen-petrovic","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"dwight-howard","Dwight Howard","2","dwight-00s|dwight-10s","2000s|2010s","Magic|Lakers","C","2","8-12 total plus decade-specific images","portrait-sources/dwight-howard","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"dwyane-wade","Dwyane Wade","2","wade-00s|wade-10s","2000s|2010s","Heat","SG|SF","2","8-12 total plus decade-specific images","portrait-sources/dwyane-wade","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"dylan-harper","Dylan Harper","1","harper-20s","2020s","Spurs","PG|SG","1","6-8 identity references","portrait-sources/dylan-harper","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"earl-monroe","Earl Monroe","1","monroe-70s","1970s","Knicks","SG|PG","1","6-8 identity references","portrait-sources/earl-monroe","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"elgin-baylor","Elgin Baylor","1","elgin-60s","1960s","Lakers","SF|PF","1","6-8 identity references","portrait-sources/elgin-baylor","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"elton-brand","Elton Brand","1","elton-00s","2000s","Clippers","PF|C","1","6-8 identity references","portrait-sources/elton-brand","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"elvin-hayes","Elvin Hayes","1","elvin-70s","1970s","Bullets","PF|C","1","6-8 identity references","portrait-sources/elvin-hayes","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"emmette-bryant","Emmette Bryant","1","emmette-60s","1960s","Celtics","PG|SG","1","6-8 identity references","portrait-sources/emmette-bryant","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"evan-mobley","Evan Mobley","1","evan-20s","2020s","Cavaliers","PF|C","1","6-8 identity references","portrait-sources/evan-mobley","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"fat-lever","Fat Lever","1","lever-80s","1980s","Nuggets","PG|SG","1","6-8 identity references","portrait-sources/fat-lever","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"franz-wagner","Franz Wagner","1","franz-20s","2020s","Magic","SF|SG|PF","1","6-8 identity references","portrait-sources/franz-wagner","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"fred-hetzel","Fred Hetzel","1","fred-h-60s","1960s","Warriors","PF|C","1","6-8 identity references","portrait-sources/fred-hetzel","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"gail-goodrich","Gail Goodrich","1","gail-70s","1970s","Lakers","SG|PG","1","6-8 identity references","portrait-sources/gail-goodrich","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"gary-payton","Gary Payton","1","gary-90s","1990s","Sonics","PG|SG","1","6-8 identity references","portrait-sources/gary-payton","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"george-gervin","George Gervin","2","george-70s|george-80s","1970s|1980s","Spurs","SG|SF","2","8-12 total plus decade-specific images","portrait-sources/george-gervin","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"george-mikan","George Mikan","1","mikan-50s","1950s","Lakers","C","1","6-8 identity references","portrait-sources/george-mikan","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"gerald-wallace","Gerald Wallace","1","gwallace-00s","2000s","Kings|Bobcats","SF|PF","1","6-8 identity references","portrait-sources/gerald-wallace","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"giannis-antetokounmpo","Giannis Antetokounmpo","2","giannis-10s|giannis-20s","2010s|2020s","Bucks","PF|SF|C","2","8-12 total plus decade-specific images","portrait-sources/giannis-antetokounmpo","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"gilbert-arenas","Gilbert Arenas","1","arenas-00s","2000s","Wizards","PG|SG","1","6-8 identity references","portrait-sources/gilbert-arenas","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"glen-rice","Glen Rice","1","glen-90s","1990s","Heat|Hornets","SF|SG","1","6-8 identity references","portrait-sources/glen-rice","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"glenn-robinson","Glenn Robinson","1","bigdog-90s","1990s","Bucks","SF|PF","1","6-8 identity references","portrait-sources/glenn-robinson","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"grant-hill","Grant Hill","1","grant-90s","1990s","Pistons","SF|SG|PF","1","6-8 identity references","portrait-sources/grant-hill","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"gus-johnson","Gus Johnson","1","gus-60s","1960s","Bullets","PF|SF","1","6-8 identity references","portrait-sources/gus-johnson","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
"guy-rodgers","Guy Rodgers","1","rodgers-60s","1960s","Warriors","PG","1","6-8 identity references","portrait-sources/guy-rodgers","NOT_STARTED","NOT_STARTED","NOT_STARTED","NOT_REVIEWED",""
